20071101,5003.99,5003.99,5003.99,-
20071102,4980.49,4980.49,4980.49,-
20071105,5009.87,5009.87,5009.87,-
20071106,5063.06,5063.06,5063.06,-
20071107,5075.85,5075.85,5075.85,-
20071108,5080.63,5080.63,5080.63,-
20071109,5124.31,5124.31,5124.31,-
20071112,5125.94,5125.94,5125.94,-
20071113,5106.23,5106.23,5106.23,-
20071114,5087.22,5087.22,5087.22,-
20071115,5095.47,5095.47,5095.47,-
20071116,5147.62,5147.62,5147.62,-
20071119,5156.9,5156.9,5156.9,-
20071120,5153.84,5153.84,5153.84,-
20071121,5181.29,5181.29,5181.29,-
20071122,5217.68,5217.68,5217.68,-
20071123,5198.23,5198.23,5198.23,-
20071126,5231.27,5231.27,5231.27,-
20071127,5222.12,5222.12,5222.12,-
20071128,5162.42,5162.42,5162.42,-
20071129,5215.36,5215.36,5215.36,-
20071130,5234.54,5234.54,5234.54,-
